DC,Channel,Keyword,Link,Vaild,Touch
EzekClub,giveaways,**GIVEAWAY**,https://discord.com/channels/918413003211300895/921756671829749790,True,True
KILLER GF,giveaways,**GIVEAWAY**,https://discord.com/channels/905550902436446318/936700416027140166,True,
KILLER GF,holder-giveaways,**GIVEAWAY**,https://discord.com/channels/905550902436446318/936704671064666213,True,
SoudanNFT,active-giveaway,**GIVEAWAY**,https://discord.com/channels/894469112644927528/938413754197106718,False,
SoudanNFT,other-pj-giveaway,GIVEAWAY,https://discord.com/channels/894469112644927528/938416468301860884,True,
SoudanNFT,lag-holder-giveaway,GIVEAWAY,https://discord.com/channels/894469112644927528/942586558291275786,True,
Moments in History,holder-giveaways,**GIVEAWAY**,https://discord.com/channels/883803341874933801/930425527565692938,True,
Moments in History,giveaways,**GIVEAWAY**,https://discord.com/channels/883803341874933801/896834287192645693,True,
SBD,giveaways,**GIVEAWAY**,https://discord.com/channels/915501223044595712/926331020960206929,True,
AstroGator Fam,pb-giveaway,**GIVEAWAY**,https://discord.com/channels/868534041987665921/954234646395244554,True,
AstroGator Fam,fam-giveaway,**GIVEAWAY**,https://discord.com/channels/868534041987665921/882046154810994688,True,
AstroGator Fam,poap-giveaway,**GIVEAWAY**,https://discord.com/channels/868534041987665921/934285839150747710,True,
DEMI,giveaways,GIVEAWAY,https://discord.com/channels/888011167069503518/898536308274757642,True,True
Meta Tycoon,giveaways,**GIVEAWAY**,https://discord.com/channels/892740878161035314/926387236830859344,True,
Rice Day,giveaways,**GIVEAWAY**,https://discord.com/channels/830451191527112764/930517470412935208,True,True
CryptoWilson,giveaways-one,GIVEAWAY,https://discord.com/channels/932201815234195457/932209324518961162,True,True
CryptoWilson,giveaways-two,GIVEAWAY,https://discord.com/channels/932201815234195457/940281058937671700,True,True
CryptoWilson,giveaways-three,GIVEAWAY,https://discord.com/channels/932201815234195457/945630716316745739,True,
CryptoWilson,giveaways-four,**GIVEAWAY**,https://discord.com/channels/932201815234195457/950078805404426270,True,
RedCat DAO,giveaway,**GIVEAWAY**,https://discord.com/channels/905992765710688276/942676776881106994,True,
HL Family,giveaway,**GIVEAWAY**,https://discord.com/channels/877588454001745981/878320169955500155,True,
Fortune Friends Club,giveaway,**GIVEAWAY**,https://discord.com/channels/916112318633496576/934995305999523880,True,True
NFT Whilt,giveaway,**GIVEAWAY**,https://discord.com/channels/932102455553052752/938747810663260180,True,
Emp,giveaway,**GIVEAWAY**,https://discord.com/channels/926721329007329341/929455334135857222,True,
WL CHANNEL NFT,giveaway-raffle,**GIVEAWAY**,https://discord.com/channels/932622402490359838/944113303658037248,True,
LoreneJen,All-giveaway,none,https://discord.com/channels/927859186006626347/933412041358708786,True,
LoreneJen,KFG-giveaway,none,https://discord.com/channels/927859186006626347/942329856971128882,True,True
KAI XUAN,giveaway,**GIVEAWAY**,https://discord.com/channels/910740337499181076/928845858982752257,True,
CryptoPaul,giveaway,**:tada: GIVEAWAY :tada:**,https://discord.com/channels/935041097594441770/935049054805717043,True,
CryptoPaul,vip-giveaway,**:tada: GIVEAWAY :tada:**,https://discord.com/channels/935041097594441770/937021285802864721,True,
